Product Line,Product Name,Condition,Number,Set,Rarity,Quantity,Main Photo URL,Set Release Date
"Magic","Plaza of Heroes (Extended Art)","Near Mint","421","Dominaria United","R","1","","9/9/2022 12:00:00 AM"
"Magic","Protect the Negotiators","Near Mint","62","Dominaria United","U","2","","9/9/2022 12:00:00 AM"
"Magic","Geralf, Visionary Stitcher","Near Mint","61","Innistrad: Crimson Vow","R","1","","11/19/2021 12:00:00 AM"
"Magic","Hopeful Initiate","Near Mint","20","Innistrad: Crimson Vow","R","4","","11/19/2021 12:00:00 AM"
"Magic","Howling Moon","Near Mint","204","Innistrad: Crimson Vow","R","1","","11/19/2021 12:00:00 AM"
"Magic","Overcharged Amalgam","Near Mint","71","Innistrad: Crimson Vow","R","1","","11/19/2021 12:00:00 AM"
"Magic","Ulvenwald Oddity","Near Mint","225","Innistrad: Crimson Vow","R","1","","11/19/2021 12:00:00 AM"
"Magic","Dungeon Descent","Near Mint","255","Adventures in the Forgotten Realms","R","1","","7/23/2021 12:00:00 AM"
"Magic","Baleful Mastery","Near Mint","64","Strixhaven: School of Mages","R","2","","4/23/2021 12:00:00 AM"
"Magic","Culling Ritual","Near Mint","172","Strixhaven: School of Mages","R","1","","4/23/2021 12:00:00 AM"
"Magic","Culmination of Studies","Near Mint","173","Strixhaven: School of Mages","R","1","","4/23/2021 12:00:00 AM"
"Magic","Daemogoth Titan","Near Mint","174","Strixhaven: School of Mages","R","4","","4/23/2021 12:00:00 AM"
"Magic","Efreet Flamepainter","Near Mint","98","Strixhaven: School of Mages","R","1","","4/23/2021 12:00:00 AM"
"Magic","Leonin Lightscribe","Near Mint","20","Strixhaven: School of Mages","R","1","","4/23/2021 12:00:00 AM"
"Magic","Quandrix Command","Near Mint","217","Strixhaven: School of Mages","R","1","","4/23/2021 12:00:00 AM"
"Magic","Verdant Mastery","Near Mint","146","Strixhaven: School of Mages","R","2","","4/23/2021 12:00:00 AM"
"Magic","Precognitive Perception","Near Mint","45","Ravnica Allegiance","R","1","","1/25/2019 12:00:00 AM"
"Magic","Ever After","Near Mint","109","Shadows over Innistrad","R","1","","4/8/2016 12:00:00 AM"
"Magic","Merfolk Sovereign","Near Mint","321","Jumpstart 2022","R","1","","12/2/2022 12:00:00 AM"
"Magic","Presence of Gond","Near Mint","709","Jumpstart 2022","C","1","","12/2/2022 12:00:00 AM"
"Magic","Ancient Brass Dragon","Near Mint","111","Commander Legends: Battle for Baldur's Gate","M","1","","6/10/2022 12:00:00 AM"
"Magic","Ancient Brass Dragon (Borderless)","Near Mint","367","Commander Legends: Battle for Baldur's Gate","M","1","","6/10/2022 12:00:00 AM"
"Magic","Ancient Bronze Dragon (Borderless)","Near Mint","369","Commander Legends: Battle for Baldur's Gate","M","1","","6/10/2022 12:00:00 AM"
"Magic","Ancient Copper Dragon (Borderless)","Near Mint","368","Commander Legends: Battle for Baldur's Gate","M","1","","6/10/2022 12:00:00 AM"
"Magic","Ancient Gold Dragon (Showcase)","Near Mint","376","Commander Legends: Battle for Baldur's Gate","M","1","","6/10/2022 12:00:00 AM"
"Magic","Black Market Connections (Extended Art)","Near Mint","620","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","Caves of Chaos Adventurer","Near Mint","167","Commander Legends: Battle for Baldur's Gate","R","4","","6/10/2022 12:00:00 AM"
"Magic","Morphic Pool","Near Mint","357","Commander Legends: Battle for Baldur's Gate","R","3","","6/10/2022 12:00:00 AM"
"Magic","Myrkul, Lord of Bones","Near Mint","287","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","Nalfeshnee (Extended Art)","Near Mint","632","Commander Legends: Battle for Baldur's Gate","R","3","","6/10/2022 12:00:00 AM"
"Magic","Ravenloft Adventurer","Near Mint","142","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","Stirring Bard","Near Mint","195","Commander Legends: Battle for Baldur's Gate","C","1","","6/10/2022 12:00:00 AM"
"Magic","Tomb of Horrors Adventurer","Near Mint","100","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","White Plume Adventurer","Near Mint","49","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","Wizards of Thay","Near Mint","105","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","Caves of Chaos Adventurer","Near Mint Foil","167","Commander Legends: Battle for Baldur's Gate","R","1","","6/10/2022 12:00:00 AM"
"Magic","Monster Manual","Near Mint Foil","242","Commander Legends: Battle for Baldur's Gate","R","3","","6/10/2022 12:00:00 AM"
"Magic","The Council of Four","Near Mint Foil","271","Prerelease Cards","R","1","",""
"Flesh & Blood TCG","Death Touch (Red)","Near Mint","OUT162","Outsiders","Rare","2","","3/24/2023 12:00:00 AM"
"Flesh & Blood TCG","Ravenous Rabble (Red)","Near Mint","OUT213","Outsiders","Common","2","","3/24/2023 12:00:00 AM"
"Flesh & Blood TCG","Billowing Mirage (Blue)","Near Mint","UPR020","Uprising","Common","2","","7/1/2022 12:00:00 AM"
"Flesh & Blood TCG","Rake the Embers (Blue)","Near Mint","UPR035","Uprising","Common","2","","7/1/2022 12:00:00 AM"
"Flesh & Blood TCG","Scar for a Scar (Red)","Near Mint","UPR209","Uprising","Common","2","","7/1/2022 12:00:00 AM"
"Orders Contained in Pull Sheet:","D63F089C-15DFAB-2D383 | D63F089C-8DB74E-01AC4 | D63F089C-C56E2D-D5C12 | D63F089C-9BCD30-2018E | D63F089C-663096-DDA00 | D63F089C-B39289-63026 | D63F089C-5BA3DB-467F0 | D63F089C-E7B555-F442B | D63F089C-5B304B-46B20 | D63F089C-0C1F71-5B091 | D63F089C-159126-3B55D | D63F089C-AA1536-28613 | D63F089C-AF8671-C4CC1 | D63F089C-13C188-6F83F | D63F089C-F085A7-6DFE6 | D63F089C-5EAD78-FB0CF | D63F089C-8A7EA0-C3839 | D63F089C-0C5E8F-D05BB | D63F089C-59DA08-C37B0 | D63F089C-076DB0-2E886 | D63F089C-76350A-4AB9F | D63F089C-31CE39-46A37 | D63F089C-B10F60-14AA5 | D63F089C-AF9C32-CAC1A | D63F089C-1B2321-FB1C8","","","","","","",""
